ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,
numerals-nort2774-1-one-1,numerals-nort2774-1,Chan2019,one,1,kɔi,koi,,FALSE,1,,,
numerals-nort2774-1-two-1,numerals-nort2774-1,Chan2019,two,2,sɛ,se,,FALSE,2,,,
numerals-nort2774-1-three-1,numerals-nort2774-1,Chan2019,three,3,ta,ta,,FALSE,3,,,
numerals-nort2774-1-four-1,numerals-nort2774-1,Chan2019,four,4,siɔ,sio,,FALSE,4,,,
numerals-nort2774-1-five-1,numerals-nort2774-1,Chan2019,five,5,kɔ̃,ko,,FALSE,5,,,
numerals-nort2774-1-six-1,numerals-nort2774-1,Chan2019,six,6,mana,mana,,FALSE,6,,,
numerals-nort2774-1-seven-1,numerals-nort2774-1,Chan2019,seven,7,mbara mbara,mbarambara,,FALSE,7,,,
numerals-nort2774-1-eight-1,numerals-nort2774-1,Chan2019,eight,8,miambe,miambe,,FALSE,8,,,
numerals-nort2774-1-nine-1,numerals-nort2774-1,Chan2019,nine,9,ɡumbaya,gumbaya,,FALSE,9,,,
numerals-nort2774-1-ten-1,numerals-nort2774-1,Chan2019,ten,10,sui kɔi,suikoi,,FALSE,10·1,,,
numerals-nort2774-1-eleven-1,numerals-nort2774-1,Chan2019,eleven,11,sui kɔi ndoni kɔi,suikoindonikoi,,FALSE,(10·1)+{LIG}1,,,
numerals-nort2774-1-twelve-1,numerals-nort2774-1,Chan2019,twelve,12,sui kɔi ndoni sɛ,suikoindonise,,FALSE,(10·1)+{LIG}2,,,
numerals-nort2774-1-thirteen-1,numerals-nort2774-1,Chan2019,thirteen,13,sui kɔi ndoni ta,suikoindonita,,FALSE,(10·1)+{LIG}3,,,
numerals-nort2774-1-fourteen-1,numerals-nort2774-1,Chan2019,fourteen,14,sui kɔi ndoni siɔ,suikoindonisio,,FALSE,(10·1)+{LIG}4,,,
numerals-nort2774-1-fifteen-1,numerals-nort2774-1,Chan2019,fifteen,15,sui kɔi ndoni kɔ̃,suikoindoniko,,FALSE,(10·1)+{LIG}5,,,
numerals-nort2774-1-sixteen-1,numerals-nort2774-1,Chan2019,sixteen,16,sui kɔi ndoni mana,suikoindonimana,,FALSE,(10·1)+{LIG}6,,,
numerals-nort2774-1-seventeen-1,numerals-nort2774-1,Chan2019,seventeen,17,sui kɔi ndoni mbara mbara,suikoindonimbarambara,,FALSE,(10·1)+{LIG}7,,,
numerals-nort2774-1-eighteen-1,numerals-nort2774-1,Chan2019,eighteen,18,sui kɔi ndoni miambe,suikoindonimiambe,,FALSE,(10·1)+{LIG}8,,,
numerals-nort2774-1-nineteen-1,numerals-nort2774-1,Chan2019,nineteen,19,sui kɔi ndoni ɡumbaya,suikoindonigumbaya,,FALSE,(10·1)+{LIG}9,,,
numerals-nort2774-1-twenty-1,numerals-nort2774-1,Chan2019,twenty,20,sui sɛ,suise,,FALSE,10·2,,,
numerals-nort2774-1-twentyone-1,numerals-nort2774-1,Chan2019,twentyone,21,sui sɛ ndoni kɔi,suisendonikoi,,FALSE,(10·1)+{LIG}1,,,
numerals-nort2774-1-twentytwo-1,numerals-nort2774-1,Chan2019,twentytwo,22,sui sɛ ndoni sɛ,suisendonise,,FALSE,(10·1)+{LIG}2,,,
numerals-nort2774-1-twentythree-1,numerals-nort2774-1,Chan2019,twentythree,23,sui sɛ ndoni ta,suisendonita,,FALSE,(10·1)+{LIG}3,,,
numerals-nort2774-1-twentyfour-1,numerals-nort2774-1,Chan2019,twentyfour,24,sui sɛ ndoni siɔ,suisendonisio,,FALSE,(10·1)+{LIG}4,,,
numerals-nort2774-1-twentyfive-1,numerals-nort2774-1,Chan2019,twentyfive,25,sui sɛ ndoni kɔ̃,suisendoniko,,FALSE,(10·1)+{LIG}5,,,
numerals-nort2774-1-twentysix-1,numerals-nort2774-1,Chan2019,twentysix,26,sui sɛ ndoni mana,suisendonimana,,FALSE,(10·1)+{LIG}6,,,
numerals-nort2774-1-twentyseven-1,numerals-nort2774-1,Chan2019,twentyseven,27,sui sɛ ndoni mbara mbara,suisendonimbarambara,,FALSE,(10·1)+{LIG}7,,,
numerals-nort2774-1-twentyeight-1,numerals-nort2774-1,Chan2019,twentyeight,28,sui sɛ ndoni miambe,suisendonimiambe,,FALSE,(10·1)+{LIG}8,,,
numerals-nort2774-1-twentynine-1,numerals-nort2774-1,Chan2019,twentynine,29,sui sɛ ndoni ɡumbaya,suisendonigumbaya,,FALSE,(10·1)+{LIG}9,,,
numerals-nort2774-1-thirty-1,numerals-nort2774-1,Chan2019,thirty,30,sui ta,suita,,FALSE,10·3,edited: mana = 6 deleted. sui ta = 10·3. mana = 6 either there is an error in form or people practice over counting here.,,
numerals-nort2774-1-forty-1,numerals-nort2774-1,Chan2019,forty,40,sui siɔ,suisio,,FALSE,10·4,,,
numerals-nort2774-1-fifty-1,numerals-nort2774-1,Chan2019,fifty,50,sui kɔ̃,suiko,,FALSE,10·5,,,
numerals-nort2774-1-sixty-1,numerals-nort2774-1,Chan2019,sixty,60,sui mana,suimana,,FALSE,10·6,,,
numerals-nort2774-1-seventy-1,numerals-nort2774-1,Chan2019,seventy,70,sui mbara mbara,suimbarambara,,FALSE,10·7,,,
numerals-nort2774-1-eighty-1,numerals-nort2774-1,Chan2019,eighty,80,sui miambe,suimiambe,,FALSE,10·8,,,
numerals-nort2774-1-ninety-1,numerals-nort2774-1,Chan2019,ninety,90,sui ɡumbaya,suigumbaya,,FALSE,10·9,,,
numerals-nort2774-1-hundred-1,numerals-nort2774-1,Chan2019,hundred,100,nɡbanɡbo kɔi,ngbangbokoi,,FALSE,100·1,,,
numerals-nort2774-1-twohundred-1,numerals-nort2774-1,Chan2019,twohundred,200,nɡbanɡbo sɛ,ngbangbose,,FALSE,100·2,,,
numerals-nort2774-1-thousand-1,numerals-nort2774-1,Chan2019,thousand,1000,koto,koto,< Bangala,TRUE,1000,,,
numerals-nort2774-1-twothousand-1,numerals-nort2774-1,Chan2019,twothousand,2000,koto sɛ,kotose,,FALSE,1000·2,,,
